FIPS,% Adults with Obesity,% Physically Inactive,% With Access to Exercise Opportunities,Primary Care Physicians Rate,High School Graduation Rate,% Unemployed,County and State,Median Income,State,County
6115,34,34,88.0,25.0,75.0,6.4,"Yuba County, California",52624, California,Yuba County
12001,27,24,87.0,158.0,84.0,3.3,"Alachua County, Florida",49078, Florida,Alachua County
12003,38,33,41.0,35.0,81.0,3.4,"Baker County, Florida",61769, Florida,Baker County
12005,29,31,68.0,54.0,79.0,4.0,"Bay County, Florida",51829, Florida,Bay County
12007,37,33,65.0,30.0,81.0,3.3,"Bradford County, Florida",46197, Florida,Bradford County
12009,30,27,88.0,73.0,86.0,3.5,"Brevard County, Florida",54359, Florida,Brevard County
12011,25,25,97.0,73.0,81.0,3.4,"Broward County, Florida",57333, Florida,Broward County
12013,36,41,20.0,41.0,81.0,4.1,"Calhoun County, Florida",38609, Florida,Calhoun County
12015,28,26,81.0,64.0,90.0,4.0,"Charlotte County, Florida",49225, Florida,Charlotte County
12017,29,35,73.0,51.0,80.0,5.2,"Citrus County, Florida",41424, Florida,Citrus County
12019,32,28,88.0,49.0,88.0,3.3,"Clay County, Florida",62653, Florida,Clay County
12021,21,23,91.0,75.0,89.0,3.4,"Collier County, Florida",65675, Florida,Collier County
12023,36,37,67.0,46.0,71.0,3.7,"Columbia County, Florida",44491, Florida,Columbia County
12027,32,36,56.0,24.0,65.0,3.8,"DeSoto County, Florida",35057, Florida,DeSoto County
12029,34,45,35.0,6.0,89.0,4.2,"Dixie County, Florida",38237, Florida,Dixie County
12031,31,26,92.0,86.0,80.0,3.6,"Duval County, Florida",53473, Florida,Duval County
12033,29,30,73.0,68.0,80.0,3.5,"Escambia County, Florida",49286, Florida,Escambia County
12035,26,26,75.0,51.0,81.0,4.0,"Flagler County, Florida",53872, Florida,Flagler County
12037,36,32,88.0,26.0,79.0,3.5,"Franklin County, Florida",42855, Florida,Franklin County
12039,43,35,60.0,20.0,53.0,4.6,"Gadsden County, Florida",40922, Florida,Gadsden County
12041,38,36,22.0,39.0,93.0,3.8,"Gilchrist County, Florida",42357, Florida,Gilchrist County
12045,33,35,54.0,43.0,85.0,4.4,"Gulf County, Florida",44291, Florida,Gulf County
12047,41,39,45.0,7.0,68.0,4.2,"Hamilton County, Florida",34583, Florida,Hamilton County
12049,39,35,60.0,11.0,73.0,5.3,"Hardee County, Florida",37594, Florida,Hardee County
12051,35,35,62.0,32.0,86.0,6.1,"Hendry County, Florida",40728, Florida,Hendry County
12053,32,32,82.0,57.0,87.0,4.5,"Hernando County, Florida",46030, Florida,Hernando County
12055,31,33,81.0,59.0,73.0,4.8,"Highlands County, Florida",37314, Florida,Highlands County
12057,24,23,94.0,83.0,83.0,3.4,"Hillsborough County, Florida",56137, Florida,Hillsborough County
12059,33,38,21.0,36.0,70.0,4.0,"Holmes County, Florida",38608, Florida,Holmes County
12061,26,26,84.0,62.0,88.0,4.3,"Indian River County, Florida",52336, Florida,Indian River County
12063,37,37,29.0,41.0,73.0,4.0,"Jackson County, Florida",39002, Florida,Jackson County
12065,34,27,52.0,21.0,56.0,3.7,"Jefferson County, Florida",48173, Florida,Jefferson County
12067,33,34,14.0,12.0,88.0,3.2,"Lafayette County, Florida",39543, Florida,Lafayette County
12069,30,29,86.0,70.0,78.0,3.5,"Lake County, Florida",51884, Florida,Lake County
12071,26,25,88.0,65.0,79.0,3.4,"Lee County, Florida",54691, Florida,Lee County
